output_all
know	how and why	No	There was a similar hunger to know how and why .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 21002
know	how and why	No	There was a similar hunger to know how and why .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 21851
know	why	Neg	`` I do n't want to be credited with this , but people are always shocked about it and I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 23602
say	by how much	Neg	The pay scale is lower than in the United States company officials would n't say by how much but Chilean employees , like American workers , can buy Home Depot stock at a 15 percent discount , and supervisors , beginning with assistant managers , receive stock options .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 26002
guess	what	No	And , guess what ?	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 27114
remember	why	No	`` I do n't even remember why .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 32609
know	when	Neg	`` I did n't know when .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 33246
see	why	Neg	But Wayne Ederer , regional marketing director for Chevron , can not see why .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 35392
know	what	No	But do you know what ?	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 36364
understand	why	Neg	Some people are susceptible to that , but I do n't understand why .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 37148
know	when and where	Neg	`` I did n't know when and where , but I knew it would happen .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 40700
know	why	Neg	Every day you have to be driven by the stock price , and things happen to your market and you do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 41281
know	why	Neg	I do not know why ... but it has no effect on my friendship , none upon my resolve to help you . ''	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 42355
know	why	Neg	I do n't know why , but it does n't matter . '' '	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 42359
know	why	Neg	`` The Foreign Student '' opens with the arrival of a young Korean man named Chang Ahn in America , he will be called `` Chuck '' at a college in Sewanee , Tenn. He is to be a student there , but we do not know why or through what means .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 43141
guess	what	No	And guess what ?	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 43207
specify	how much	No	The group has already raised a considerable amount of money for Ferraro , although the campaign declined to specify how much , and Ms. Malcolm pledged to do even more should Ferraro win the chance to take on Sen. Alfonse D'Amato in the general election .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 45480
guess	what	No	And guess what ?	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 49047
know	why	No	`` Once we stopped working , people wanted to know why , '' said David Chaiken , a former researcher at Digital 's Systems Research Center in Palo Alto .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 52169
answer	why	Neg	I ca n't answer why , but we can learn from it .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 55229
know	why	Neg	They do not know why .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 58381
say	how	Neg	Michael Connolly , a House Judiciary Committee spokesman , said the potential problem of massive online activity was being addressed , but he would n't say how .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 60763
<none>	<none>	No	`` I do n't understand all this stuff about micros and macros . ''	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 63266
know	exactly when or where	Neg	You knew a big storm was coming , but you did n't know exactly when or where , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 65174
specify	which one	Neg	During one of their last encounters in 1997 , Ms. Lewinsky said the president told her `` that he suspected a foreign embassy -LRB- he did not specify which one -RRB- was tapping his telephones , and he proposed cover stories , '' the report says Ms. Lewinsky testified .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 66173
know	why	Neg	`` I do n't know why , I do n't know what the reason is , '' said McDowell , 4-3 with a 4.66 ERA overall this season .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 73382
know	why	Neg	`` I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 75074
guess	what	No	And guess what ?	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 76369
know	which banks	Neg	Detweiler said she had heard that some other banks were thinking about issuing credit -LRB- backslash -RRB- equity cards , but she did not know which banks .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 76532
figure	why	No	When radioactivity turned up on the surface , they had to figure out why .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 77555
guess	what	No	Talk about that series , as well as the massacre and the playoff , was popular Tuesday because the Red Sox are in town , and guess what ?	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 81713
know	which one	Neg	The woman had heard that McGwire was going to play in one of the two games , but did n't know which one .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 87393
see	where	Neg	I do n't see where , unless people quit watching sports , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 88182
understand	why	No	And it 's not difficult to understand why .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 88289
approve	of that	Neg	`` He had this girlfriend , he misled everybody , his wife , everyone , and I do n't approve of that . ''	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 88939
say	why	No	Boxing promoter Don King said he believes former heavyweight champion Mike Tyson should have his license reinstated by the Nevada State Athletic Commission , but he refused to say why .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 93829
decide	just what	No	Committee Chairman Henry Hyde , R-Ill. , acknowledged , however , that the decision to release the tape and other Starr information was all but made and the panel is now trying to decide just what and how much to make public .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 99467
explain	why	No	Ms. Harmon-Schamberger told the firm of her dyslexia , word-recognition disability and visual impairment only after she failed the bar exam twice and wanted to explain why .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 108352
know	why	Neg	`` In the new library , I do n't know why , but they have disappeared , thank goodness .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 112893
know	why	Neg	`` I do n't know why -LRB- he did -RRB- , but I 'm happy he did . ''	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 115791
know	why	Neg	I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 116337
say	why	Neg	The captain had slept 15 hours out of the previous 65 , and just 5 hours in the last 28 -LCB- , though the report does not say why .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 118969
know	exactly what	Neg	`` I think he has a problem and he needs something , but I do n't know exactly what .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 119233
guess	what	No	Well , guess what .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 124143
say	how long	Neg	He would not say how long , but he commented : `` We need action , and in normal times , we would have had it .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 138236
guess	what	No	`` But guess what ?	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 141200
know	why	No	The company wanted to know why .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 149224
know	why	Neg	A few years ago , they recalled , samples of their hair had been taken , though they did not know why .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 149852
know	why	Neg	I do n't know why , but that 's the way things happened .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 156324
guess	what	No	And , guess what ?	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 157497
know	how	No	Now , if you can tell me that months more of investigation and hearings will shed more light on something that only two people shared I 'd be interested to know how . ''	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 158645
determine	how much	No	First , an antibody is used to determine how much of the harmless form of the protein in a tissue .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 166208
explain	why	No	Impossible to explain why , but it tasted superb .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 166369
say	why	No	But the 68-year-old feisty feminist , probably best known for her 1977 novel , The Women 's Room , is still alive , although neither she nor her doctors can say why .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 171203
guess	what	No	But guess what .	Treebanks/NYT-Parsed/nyt_eng_199809.tgrep2 173761
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 12760
know	what	No	I do n't you know what ?	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 13815
ask	why	No	I 'm not going to ask Him why .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 13853
know	what	No	I do n't you know what ?	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 14985
say	which one	Neg	There was extra security in Giants Stadium for Wooten at a home game earlier this season the officials would not say which one .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 18073
figure	why	No	Stephanie Denton , the owner of Denton & Co. , an organizing service in Cincinnati , said that people who tend to let clutter get the upper hand should try to figure out why .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 18447
say	when	No	Ms. Goldberg added that she also phoned Bennett some time in January to discuss Mrs. Tripp 's accusations , but she refused to say when .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 18726
say	by how much	No	Blockbuster 's promotional costs will presumably drop , but no one can yet say by how much .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 20433
understand	why	No	I can understand why .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 24032
know	why	No	If a company has n't followed through on a buyback announcement , you want to know why because it may be that it 's found a better use for its money .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 32018
understand	why	Neg	`` They 're looking with wonderment , bewilderment at what America is doing to itself and they ca n't understand why .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 33838
explain	why	Neg	Tuesday , party officials insisted that they did not need to spend as much as initially planned but did not explain why .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 34443
guess	what	No	And guess what ?	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 37307
fathom	why	No	`` It 's difficult to fathom why , '' the employee said .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 44475
say	how long	No	`` He 's sore and it 's hard to say how long , '' San Diego Manager Bruce Bochy said Thursday afternoon .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 50491
explain	why	No	Besides fears that the yen 's strength will hurt Japanese exporters the realization that bank reform is still some way off may explain why , after rising sharply on Wednesday , the Japanese stockmarket fell as sharply the following day .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 51498
say	whose home	Neg	We wo n't say whose home . ''	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 57150
see	why	No	It 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 63102
know	when	Neg	Second , we do not know when .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 67160
protect	from whom	No	But protect from whom ?	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 68455
know	why	Neg	Scientists do not know why , but condoms do not work as well against chlamydia as they do against other sexually transmitted diseases .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 68653
know	when	Neg	He was optimistic , saying , `` I do n't know when and I do n't know where the fight will take place , but we are going to work to make it happen . ''	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 69287
guess	what	No	`` In the mid- '80s consumer debt also just took off and guess what ?	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 72737
discuss	why	No	`` I do not know , '' said Williams , who has been aloof during this post-season , but has declined to discuss why .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 87621
know	why	Neg	`` I do n't know why , really , so much was made of last year 's game .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 91471
predict	when	No	`` It 's been an option the players have looked at from the very beginning , '' said Kessler , who helped lead a decertification try in 1995.`I 'm not going to predict when and if they 're going to , though . ''	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 100583
say	by how much	Neg	The acquisition is not expected to affect Kroger 's earnings per share in the 1999 fiscal year and is expected to contribute substantially to earnings thereafter , though the companies did not say by how much .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 101066
say	how much	Neg	Nixon said more money is needed , but he did n't say how much .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 104205
understand	why	No	`` When you think back to Pearl Harbor , you can understand why .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 111709
say	when	No	I 'm not going to say when . ''	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 114662
say	how many	No	Olim said there would be some layoffs but he declined to say how many .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 118045
know	why	No	You want to know why ?	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 121953
hear	that , promoters	No	Do you hear that , promoters ?	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 136146
know	why	No	`` I do n't really know why , '' Grove said , `` but I was accepted . ''	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 137426
quantify	by how much	Neg	With less fanfare , the space agency has also looked at the health risk to Glenn , which is higher than for a younger astronaut , though NASA will not quantify by how much	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 140159
quantify	by how much	Neg	With less fanfare , the space agency has also looked at the health risk to Glenn , which is higher than for a younger astronaut , though NASA will not quantify by how much	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 140974
understand	why	Neg	After a decade , Perkins still does n't understand why .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 143747
say	when	Neg	The authorities in Thailand vow to resume construction of the badly needed $ 3.2 billion transportation project , but they do n't say when .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 143934
see	why	No	They call this part of Florida the Space Coast , and it 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 146779
thinart	of that	No	`` Every time you looked outside , you 'd thinart of that , '' said Margaret Edmonson , the Herald 's managing editor .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 150331
know	how	No	I am not really depressed just that the fact that I want people , the world , or maybe just Bethel , to know how -LRB- expletive -RRB- and cruel the world is or can be .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 150933
ask	why	No	Why ask why ?	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 151764
guess	what	No	`` Honey , guess what ? ''	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 151767
explain	why	No	On another matter , Powers said that in a race in which Schumer has made trust an issue , the Democrat `` needs to explain why '' federal authorities in 1983 investigated him for allegedly using government workers to staff his political campaign .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 152839
approve	of that	Neg	`` I do n't approve of that .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 154613
know	why	No	Three tourists were shot to death in the heart of Atlanta 's convention district , and no one seems to know why .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 156194
know	what else	Neg	`` He 's talking about making an album that will be called ` Klassic Kennedy ' classic with a K which I guess will have the Hendrix on it , but I do n't know what else .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 159470
understand	why	No	The government insists that a devaluation of the real will not be considered , and it is easy to understand why .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 161764
remember	what	Neg	She ca n't remember what .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 162776
explain	why	Neg	Judge Johnson kept secret the name of the investigator , known as a special master , although she did not explain why .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 167189
say	when	No	`` That was very important to me , to have the good judgment to know when to say when .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 168427
choose	where	No	`` We can choose where , '' the official said .	Treebanks/NYT-Parsed/nyt_eng_199810.tgrep2 168678
choose	where	No	`` We can choose where , '' the official said .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 4560
see	why not	Neg	`` If gay people want to marry , I do n't see why not .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 6179
guess	what	No	And guess what ?	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 11235
predict	when	Neg	`` But , '' she said , `` we can not predict when . ''	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 12036
show	why	No	Earl Sizemore , chairman of the Warren County Democratic Party , says he feels like he 's `` swimming up-water '' and voter registration records show why :	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 15175
guess	what	No	`` Well guess what ?	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 22071
guess	what	No	Well guess what ?	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 24527
decide	how	No	`` We just had to decide how . ''	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 25289
know	why	Neg	I just stopped , and I did n't know why , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 27599
know	why	Neg	The researchers do not know why , they said .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 30058
say	how much	Neg	Though Carter would n't say how much , the phrase an `` arm and a leg '' came up .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 38582
guess	how much	No	He refused to guess how much , but he cited the current record price for a baseball , $ 93,500 , which the actor Charlie Sheen paid for the ball that the Mets ' Mookie Wilson hit between the legs of Boston 's Bill Buckner to score the winning run in Game 6 of the 1986 World Series .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 39524
teach	how	No	`` Part of the process with a young player is to teach them how .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 44647
understand	why	No	With parts of the great Montrachet and Batard-Montrachet vineyards within the Chassagne-Montrachet town borders , it is easy to understand why .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 51465
like	what	No	`` He said , ` like what ? '	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 55120
wonder	why	No	Her will to live triumphed against tremendous odds ; now she must wonder why .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 56940
know	how	No	Here , the Vols have become the No. 1-ranked team in the country , positioned nicely for an ultimate national championship game , and you do n't really know how .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 61821
think	why	No	`` We try not to let her think why , '' Sie said , not translating the question .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 68594
explain	why	No	A look at the Cardinals ' schedule may explain why .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 69300
Guess	what	No	`` I do n't think he was prepared for someone bouncing into his hospital room saying , ` Guess what ?	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 70036
say	where	Neg	-LRB- She would not say where . -RRB-	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 72311
know	how many times	Neg	She and Sandy spoke I do n't know how many times .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 91169
understand	why	No	To understand why , it helps to know that the battle in question is the Alamo and the combatant a man in a coonskin cap named Davy Crockett .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 97057
guess	what	No	And guess what ?	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 101137
know	why	Neg	`` But , '' he quickly added , `` controversy just seems to follow me and I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 104945
know	why	Neg	At the news conference at Shea Stadium Wednesday announcing his second coming as a Met , Bobby Bonilla remarked that , well , yes , controversy `` seems to follow me ; I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 105947
know	how good	Neg	I just did n't know how good . ''	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 107322
know	why	Neg	`` I do n't know why , '' she said Wednesday , `` but it 's taken me a year to get people to realize I 'm not Linda Tripp 's agent and I never was . ''	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 107939
decide	how much money	No	It will now likely be up to a jury to decide how much money to which the Eappens are entitled .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 110286
know	why	No	When you meet his parents , you know why .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 112319
explain	why	No	Stein paraphrased his own boss to explain why :	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 114975
know	which one	Neg	Moskal said one of the two men he said he did not know which one had been located , interviewed and released .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 123189
say	how much	No	Of course , it 's hard to say how much after what happened Saturday .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 125577
determine	which	Neg	Should he be in the Muslim Quarter , he 's got 580 or so years to go , as the Muslim world presently is observing the year 1420 , or 1421 I can not determine which , for which I apologize to all Muslims .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 128359
Think	what over	No	Me : Think what over ?	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 128746
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 130363
question	why the arts	No	Asked the obvious question why the arts ?	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 134746
know	what	Neg	`` It 's going to be a catalyst for a new , sparkling I do n't know what . ''	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 134762
guess	what	No	Well , guess what ?	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 135135
know	why	Neg	This book does n't read like a polemic , but the sheer weight of its facts makes it one : we are spending $ 250 billion a year on defense , we do n't know why and it 's not enough .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 135414
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 139286
know	how	Neg	Joe would n't know how .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 145712
know	why	No	`` If American men are going to be sent to war , '' he said , `` I want to know why and be part of the process that decides whether they should go . ''	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 162280
say	when	No	There are some cases where 10-10 numbers are a better deal , but it 's not easy to say when .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 169396
say	why	Neg	Did n't say why . ''	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 170198
say	exactly where	Neg	It will happen , she said , though scarred by the pending legal action she wo n't say exactly where .	Treebanks/NYT-Parsed/nyt_eng_199811.tgrep2 170301
know	why	Neg	`` I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 2698
remember	who	Neg	Someone Ms. Shere or Alice Waters knew -LRB- they do n't remember who -RRB- had a tree in the yard .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 2915
know	what	Neg	I felt I had something to say , but I did n't know what .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 10783
say	when	Neg	After dismissing the head of the airplane division in September and installing Alan R. Mulally , who played a key role in the development of the 777 , Condit says that Boeing is committed to increasing its productivity and still thinks the company can achieve double-digit profit margins , though he will not say when .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 12541
say	exactly when	No	He is betting that such a surge will come , although he is loath to say exactly when .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 26356
know	how	Neg	`` They walk into that weight room and see other guys doing it and they do n't know how . ''	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 29790
guess	what	No	So guess what ?	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 32026
understand	why	No	Only two days into previews , it had sold 85 percent of the tickets for its five-week run , which has been extended to Jan. 3 , and it is easy to understand why .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 34518
specify	for how long	Neg	It has fixed the exchange rate of its yuan against the dollar , and Jin repeatedly said Wednesday that `` we certainly are committed to maintaining the value of our currency , '' though did not specify for how long .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 56450
say	for how long	Neg	Krebs said the show was very likely to extend past its scheduled Jan. 17 close , though he would not say for how long .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 59588
say	which way	Neg	Rep. Harris Fawell , a seven-term Illinois Republican who is retiring this year , had a quadruple-heart bypass on November 13 , but his aides say he is rested and ready to vote -LRB- although they wo n't say which way -RRB- .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 61426
know	why	Neg	`` We 're fitting games in and I do n't know why , '' said Martelli .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 65387
know	why	Neg	They do n't know why , but they notice . ''	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 66015
know	how much	Neg	But I do n't know how much . ''	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 69906
say	just how	No	Many people in and around Congress think it will never get that far that somehow , though no one can say just how , the Senate will avert a drawn-out legal process that could tie up the country for months .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 71453
know	what	No	`` When we screened the first act , probably six months or so into the project , we realized y ' know what ?	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 72615
know	why	Neg	Well , a coach in that situation might lose it , anyway , if he makes that decision and the team does not know why .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 78883
guess	what	No	I bought some software that asks me to put my Windows 98 CD-ROM in the drive , but guess what ?	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 81751
know	why	Neg	`` The biggest thing with this group , and I do n't know why , is that they have n't been satisfied , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 88027
ask	why	No	Williams said that if the season is cancelled , `` you 'll have to look under the carpet and ask why . ''	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 91458
know	Meggett	No	Neither is Parcells , who does know Meggett .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 94810
ask	why	No	If the season were canceled , he continued , `` You 'll have to look under the carpet and ask why . ''	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 97069
explain	why	No	Let me explain why .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 98551
know	why	Neg	`` I was never too afraid of this because computers just are interesting to watch , I do n't know why , '' Ephron says .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 100147
understand	why	Neg	`` I just could n't understand why . ''	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 102581
wonder	why	No	Some might wonder why , considering Curry was named All-America by the Women 's Basketball Journal last year .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 104985
guess	what	No	There are 500 of those packages available , but guess what ?	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 106039
know	where	Neg	Terrell will instead be with the crew of his Bradley Fighting Vehicle a fast-moving fortress of armor equipped with an antitank missile , a cannon and a machine gun although his wife does not know where .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 107810
know	how much blood	Neg	`` I do n't know how much blood , so to speak , one feels you have to get out of the situation . ''	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 108255
wonder	why	No	`` They all begged to come here , '' said firefighter Dan McSwiggan , 54 , from nearby Ladder Company 174 , `` and you sometimes wonder why . ''	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 111789
guess	what	No	When the market rebounded Tuesday and the Dow recouped its Monday loss despite intensifying momentum for impeachment , guess what ?	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 117921
matter	how	No	It does n't seem to matter how anymore , either , and that 's no small change .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 121747
figure	exactly why	Neg	The show 's a hit , and it 's the one time in my entire career when I ca n't figure out exactly why .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 123175
see	why	No	To see why , it helps to compare the accusations against the two presidents .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 123629
understand	why	No	Paltrow , 25 , has certainly played her share of love-interest parts , and judging by her looks alone , it 's fairly easy to understand why .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 124035
understand	why	Neg	`` Everything has changed , and we really do n't understand why .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 130349
understand	why	No	It 's easy to understand why .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 133200
know	when	Neg	`` We knew he 'd get caught , we just did n't know when , '' Capt. Bill Williams of the West Helena Police Department said by phone from Arkansas .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 136414
